                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.55609,                0.53652,                 1.0952,                0.96409,                 0.9877,                0.98877,                0.93321,                0.35541,                0.30313,                0.94936,               0.006535,               0.006535,               0.006535
                     37,                0.53511,                0.54269,                 1.0799,                0.95495,                0.97745,                0.98921,                0.93291,                0.34522,                0.31937,                0.93504,               0.006436,               0.006436,               0.006436
                     38,                0.56726,                0.55048,                 1.1022,                0.94864,                0.97407,                0.98954,                0.93841,                0.34251,                0.31988,                 0.9367,               0.006337,               0.006337,               0.006337
                     39,                0.55271,                0.56165,                 1.1114,                0.93496,                0.99083,                0.98595,                0.93717,                0.32112,                0.29353,                0.91304,               0.006238,               0.006238,               0.006238
                     40,                0.55118,                0.54808,                  1.103,                0.96933,                0.96787,                0.99052,                0.92814,                0.34064,                0.32029,                0.92738,               0.006139,               0.006139,               0.006139
                     41,                0.53224,                0.52272,                 1.0916,                0.94744,                0.98536,                0.98694,                0.93567,                 0.3189,                0.28458,                0.90248,                0.00604,                0.00604,                0.00604
                     42,                0.52149,                0.50087,                 1.0834,                0.96745,                0.98086,                0.98504,                0.92926,                0.33348,                0.29502,                0.91722,               0.005941,               0.005941,               0.005941
                     43,                 0.5176,                 0.5324,                 1.0845,                0.97168,                0.98054,                0.99077,                0.94131,                0.33048,                0.28594,                0.92456,               0.005842,               0.005842,               0.005842
                     44,                0.50929,                0.48663,                 1.0663,                 0.9668,                 0.9723,                0.98445,                 0.9321,                0.31867,                0.28984,                0.90674,               0.005743,               0.005743,               0.005743
                     45,                0.51527,                0.48282,                 1.0647,                0.97192,                0.97537,                0.99091,                0.94259,                0.31682,                 0.2671,                0.90621,               0.005644,               0.005644,               0.005644
                     46,                0.50467,                0.46761,                 1.0612,                 0.9601,                0.98622,                0.99197,                0.95071,                0.31175,                0.26711,                0.89618,               0.005545,               0.005545,               0.005545
                     47,                0.50103,                 0.4739,                 1.0715,                0.96005,                0.98717,                0.99161,                0.95005,                0.30056,                0.26215,                0.88871,               0.005446,               0.005446,               0.005446
                     48,                0.50271,                0.49169,                 1.0526,                0.96669,                0.98489,                0.99177,                0.94878,                0.29995,                0.25178,                0.88819,               0.005347,               0.005347,               0.005347
                     49,                0.51281,                0.48447,                 1.0788,                0.97762,                0.97734,                0.99333,                0.95137,                0.30032,                0.26379,                0.88719,               0.005248,               0.005248,               0.005248
                     50,                0.49143,                0.48779,                 1.0782,                 0.9851,                0.96731,                0.99281,                0.95161,                0.30112,                0.24986,                0.89031,               0.005149,               0.005149,               0.005149
                     51,                0.48959,                0.47158,                 1.0621,                0.96683,                0.99444,                0.99117,                0.94954,                0.29199,                0.24565,                0.87432,                0.00505,                0.00505,                0.00505
                     52,                0.49761,                0.47481,                 1.0676,                0.96986,                0.99284,                0.99189,                 0.9508,                0.29008,                0.23499,                0.87797,               0.004951,               0.004951,               0.004951
                     53,                0.49142,                 0.4565,                 1.0598,                0.98002,                0.97793,                0.99281,                0.95594,                0.29472,                0.23428,                0.88759,               0.004852,               0.004852,               0.004852
                     54,                 0.4605,                0.41148,                 1.0511,                 0.9777,                0.98129,                 0.9926,                0.95333,                0.29238,                0.23104,                 0.8878,               0.004753,               0.004753,               0.004753
                     55,                 0.4638,                0.43046,                 1.0306,                0.95929,                0.98202,                0.98389,                0.94697,                0.29143,                0.25114,                0.88596,               0.004654,               0.004654,               0.004654
                     56,                0.46012,                0.41986,                 1.0367,                0.97215,                0.97649,                0.99029,                0.95066,                0.29062,                 0.2585,                0.88634,               0.004555,               0.004555,               0.004555
                     57,                0.46012,                0.44465,                 1.0332,                0.96585,                0.98869,                0.99014,                0.95598,                0.28806,                0.22743,                0.88385,               0.004456,               0.004456,               0.004456
                     58,                0.46017,                0.42827,                  1.043,                  0.971,                0.98946,                0.99251,                0.95454,                0.30185,                0.23685,                0.89196,               0.004357,               0.004357,               0.004357
                     59,                0.46727,                0.44448,                 1.0628,                0.95859,                0.99082,                0.98945,                 0.9617,                0.26822,                0.22598,                0.86778,               0.004258,               0.004258,               0.004258
                     60,                0.47083,                0.43695,                 1.0476,                0.95801,                0.99093,                0.99062,                  0.956,                0.27694,                0.24324,                0.87141,               0.004159,               0.004159,               0.004159
                     61,                0.45814,                0.43029,                 1.0433,                0.96477,                0.98308,                0.99061,                0.96233,                0.26677,                0.22041,                0.86404,                0.00406,                0.00406,                0.00406
                     62,                0.45819,                0.45134,                 1.0392,                0.96105,                0.99551,                0.99254,                0.96367,                0.26842,                0.21237,                0.86407,               0.003961,               0.003961,               0.003961
                     63,                0.45182,                0.41656,                 1.0272,                0.97124,                0.97767,                0.99243,                0.96094,                0.26393,                0.21392,                0.86075,               0.003862,               0.003862,               0.003862
                     64,                0.45639,                 0.4181,                  1.031,                0.97602,                0.97425,                0.99201,                0.96327,                0.26145,                0.20972,                0.85352,               0.003763,               0.003763,               0.003763
                     65,                0.42693,                0.37445,                 1.0117,                0.95773,                0.99834,                0.99283,                0.96354,                0.26088,                0.20552,                0.84976,               0.003664,               0.003664,               0.003664
                     66,                0.44171,                0.39417,                  1.039,                0.95924,                0.99684,                0.99301,                0.96426,                0.25982,                0.20186,                0.84949,               0.003565,               0.003565,               0.003565
                     67,                0.43862,                0.36604,                 1.0202,                0.95698,                 0.9975,                 0.9928,                0.96311,                0.26039,                0.20075,                0.85132,               0.003466,               0.003466,               0.003466
                     68,                0.41345,                0.36158,                 1.0072,                0.96622,                0.99004,                0.99291,                0.96787,                0.24808,                0.20002,                0.84171,               0.003367,               0.003367,               0.003367
                     69,                0.41054,                0.35538,                 1.0057,                0.96962,                0.98247,                0.99238,                0.96588,                0.24465,                0.19777,                0.84568,               0.003268,               0.003268,               0.003268
                     70,                0.39716,                0.34923,                 1.0061,                0.96048,                0.99621,                0.99254,                0.97052,                0.24078,                0.18585,                0.84216,               0.003169,               0.003169,               0.003169
                     71,                0.41893,                0.36021,                 1.0233,                0.96396,                0.99876,                0.99344,                0.97262,                0.23952,                0.18847,                0.83797,                0.00307,                0.00307,                0.00307
                     72,                0.39912,                0.34397,                0.98779,                0.97335,                0.99239,                0.99329,                0.97071,                0.24006,                0.19261,                0.84034,               0.002971,               0.002971,               0.002971
                     73,                 0.3897,                 0.3484,                 1.0037,                0.98039,                0.98327,                0.99391,                0.97385,                 0.2375,                 0.1836,                 0.8328,               0.002872,               0.002872,               0.002872
                     74,                 0.3926,                0.32334,                 0.9988,                0.97699,                0.98522,                 0.9937,                 0.9715,                0.23914,                0.18897,                0.83152,               0.002773,               0.002773,               0.002773
                     75,                0.38216,                0.36337,                0.99409,                0.99163,                0.96512,                0.99326,                0.97063,                0.24133,                0.19421,                0.83701,               0.002674,               0.002674,               0.002674
                     76,                0.38993,                0.38629,                 1.0095,                0.98977,                0.96922,                0.99347,                 0.9727,                0.24738,                0.18849,                0.84125,               0.002575,               0.002575,               0.002575
                     77,                0.38986,                0.34753,                0.99354,                0.97724,                0.98502,                0.99342,                0.97313,                0.23756,                0.18074,                0.83354,               0.002476,               0.002476,               0.002476
                     78,                0.38747,                0.40538,                0.98496,                0.97514,                0.98888,                0.99322,                0.96886,                0.23309,                0.18924,                0.83132,               0.002377,               0.002377,               0.002377
                     79,                0.38111,                0.32927,                0.98748,                0.97939,                0.98113,                0.99365,                0.97556,                0.22734,                0.17449,                0.82561,               0.002278,               0.002278,               0.002278
                     80,                0.37508,                0.32364,                0.97953,                0.99838,                 0.9671,                0.99347,                0.97529,                0.22313,                0.17629,                0.82454,               0.002179,               0.002179,               0.002179
