                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.91997,                 2.9642,                 1.3839,                0.58588,                0.66502,                 0.6485,                0.53321,                 0.6742,                 2.0264,                 1.2573,                 0.0775,                 0.0025,                 0.0025
                      1,                 0.7263,                 1.4779,                 1.2468,                0.69962,                0.72086,                0.80543,                0.68468,                0.62677,                 1.0993,                 1.2171,                0.05405,              0.0050495,              0.0050495
                      2,                0.63761,                  1.135,                 1.1567,                0.63338,                0.67138,                0.74681,                0.58466,                0.79035,                 1.3701,                 1.3934,               0.030548,              0.0075475,              0.0075475
                      3,                0.62199,                 1.0053,                 1.1197,                0.86172,                0.85183,                0.93259,                 0.7907,                0.64822,                0.83803,                 1.2446,               0.009703,               0.009703,               0.009703
                      4,                0.64398,                0.83872,                 1.1349,                0.74718,                0.77707,                0.86075,                0.70575,                0.70874,                 1.3784,                 1.3587,               0.009703,               0.009703,               0.009703
                      5,                0.68073,                0.83152,                 1.1828,                 0.8253,                0.89916,                0.92752,                0.75257,                0.69564,                0.95947,                 1.3384,               0.009604,               0.009604,               0.009604
                      6,                 0.6687,                0.77872,                 1.1454,                0.82776,                0.78094,                0.87975,                0.72138,                0.72877,                0.96434,                 1.3296,               0.009505,               0.009505,               0.009505
                      7,                0.66645,                0.75586,                 1.1367,                0.75695,                0.83235,                0.88406,                 0.6931,                0.79926,                 1.0292,                 1.4032,               0.009406,               0.009406,               0.009406
                      8,                0.69801,                0.74614,                 1.1456,                 0.7165,                0.88693,                0.87716,                0.67067,                0.90866,                 1.0262,                 1.5143,               0.009307,               0.009307,               0.009307
                      9,                0.66149,                0.74043,                  1.153,                0.87106,                 0.9073,                0.96719,                0.82936,                0.62412,                0.68665,                 1.2166,               0.009208,               0.009208,               0.009208
                     10,                0.65842,                0.69852,                 1.1344,                0.85994,                0.85589,                 0.9448,                0.80361,                0.63737,                0.77446,                 1.2337,               0.009109,               0.009109,               0.009109
                     11,                0.65963,                0.70669,                 1.1565,                0.82812,                0.86281,                0.95328,                0.81179,                0.67682,                0.83965,                 1.2791,                0.00901,                0.00901,                0.00901
